variable,type,start,end,detail
slp_hpa,step,2023-01-04 09:00:00,2023-01-04 09:00:00,change of -11.9 in 3.0 h
slp_hpa,step,2023-01-04 15:00:00,2023-01-04 15:00:00,change of 10.4 in 3.0 h
all,missing_block,2023-03-02 21:00:00,2023-03-03 09:00:00,12.0 hour gap
rh_pct,step,2023-03-29 15:00:00,2023-03-29 15:00:00,change of 54.4 in 3.0 h
temp_c,step,2023-04-15 06:00:00,2023-04-15 06:00:00,change of 13.2 in 3.0 h
slp_hpa,step,2023-05-27 03:00:00,2023-05-27 03:00:00,change of 6.3 in 3.0 h
all,missing_block,2023-09-19 12:00:00,2023-09-20 00:00:00,12.0 hour gap
all,missing_block,2023-09-28 06:00:00,2023-09-28 18:00:00,12.0 hour gap
rh_pct,step,2023-12-14 06:00:00,2023-12-14 06:00:00,change of -56.5 in 3.0 h
temp_c,step,2023-12-15 06:00:00,2023-12-15 06:00:00,change of 13.2 in 3.0 h
temp_c,step,2023-12-17 06:00:00,2023-12-17 06:00:00,change of 13.4 in 3.0 h
rh_pct,step,2023-12-17 06:00:00,2023-12-17 06:00:00,change of -62.6 in 3.0 h
all,missing_block,2023-12-24 18:00:00,2023-12-26 12:00:00,42.0 hour gap
