run,section,detector,scope,fault_type,support,precision,recall,f1,tp,fp,fn,tn,n_flagged,anomaly_rate,episodes,ep_detected,ep_recall,n_features,n_estimators,contamination,random_state,train_frac,split_time,seed,features
stage4_final,overall,"IF (22 feat, Stage 3)",train,ALL,125.0,0.216,0.216,0.216,27.0,98.0,98.0,1779.0,125.0,0.0624,,,,16,200,0.062438,42,0.7,2023-09-11 09:00:00,42,temp_c_step|slp_hpa_step|rh_pct_step|temp_c_roll_std|slp_hpa_roll_std|rh_pct_roll_std|temp_c_resid|slp_hpa_resid|rh_pct_resid|temp_c_clim_dev|slp_hpa_clim_dev|rh_pct_clim_dev|hour_sin|hour_cos|doy_sin|doy_cos
stage4_final,overall,"IF (22 feat, Stage 3)",test,ALL,54.0,0.071,0.2037,0.1053,11.0,144.0,43.0,661.0,155.0,0.1804,,,,16,200,0.062438,42,0.7,2023-09-11 09:00:00,42,temp_c_step|slp_hpa_step|rh_pct_step|temp_c_roll_std|slp_hpa_roll_std|rh_pct_roll_std|temp_c_resid|slp_hpa_resid|rh_pct_resid|temp_c_clim_dev|slp_hpa_clim_dev|rh_pct_clim_dev|hour_sin|hour_cos|doy_sin|doy_cos
stage4_final,overall,"IF (22 feat, Stage 3)",full series,ALL,179.0,0.1357,0.2123,0.1656,38.0,242.0,141.0,2440.0,280.0,0.0979,,,,16,200,0.062438,42,0.7,2023-09-11 09:00:00,42,temp_c_step|slp_hpa_step|rh_pct_step|temp_c_roll_std|slp_hpa_roll_std|rh_pct_roll_std|temp_c_resid|slp_hpa_resid|rh_pct_resid|temp_c_clim_dev|slp_hpa_clim_dev|rh_pct_clim_dev|hour_sin|hour_cos|doy_sin|doy_cos
stage4_final,overall,IF (16 stationary),train,ALL,125.0,0.216,0.216,0.216,27.0,98.0,98.0,1779.0,125.0,0.0624,,,,16,200,0.062438,42,0.7,2023-09-11 09:00:00,42,temp_c_step|slp_hpa_step|rh_pct_step|temp_c_roll_std|slp_hpa_roll_std|rh_pct_roll_std|temp_c_resid|slp_hpa_resid|rh_pct_resid|temp_c_clim_dev|slp_hpa_clim_dev|rh_pct_clim_dev|hour_sin|hour_cos|doy_sin|doy_cos
stage4_final,overall,IF (16 stationary),test,ALL,54.0,0.0984,0.3519,0.1538,19.0,174.0,35.0,631.0,193.0,0.2247,,,,16,200,0.062438,42,0.7,2023-09-11 09:00:00,42,temp_c_step|slp_hpa_step|rh_pct_step|temp_c_roll_std|slp_hpa_roll_std|rh_pct_roll_std|temp_c_resid|slp_hpa_resid|rh_pct_resid|temp_c_clim_dev|slp_hpa_clim_dev|rh_pct_clim_dev|hour_sin|hour_cos|doy_sin|doy_cos
stage4_final,overall,IF (16 stationary),full series,ALL,179.0,0.1447,0.257,0.1851,46.0,272.0,133.0,2410.0,318.0,0.1111,,,,16,200,0.062438,42,0.7,2023-09-11 09:00:00,42,temp_c_step|slp_hpa_step|rh_pct_step|temp_c_roll_std|slp_hpa_roll_std|rh_pct_roll_std|temp_c_resid|slp_hpa_resid|rh_pct_resid|temp_c_clim_dev|slp_hpa_clim_dev|rh_pct_clim_dev|hour_sin|hour_cos|doy_sin|doy_cos
stage4_final,overall,rule flat-run,train,ALL,125.0,0.9333,0.224,0.3613,28.0,2.0,97.0,1875.0,30.0,0.015,,,,16,200,0.062438,42,0.7,2023-09-11 09:00:00,42,temp_c_step|slp_hpa_step|rh_pct_step|temp_c_roll_std|slp_hpa_roll_std|rh_pct_roll_std|temp_c_resid|slp_hpa_resid|rh_pct_resid|temp_c_clim_dev|slp_hpa_clim_dev|rh_pct_clim_dev|hour_sin|hour_cos|doy_sin|doy_cos
stage4_final,overall,rule flat-run,test,ALL,54.0,0.9333,0.2593,0.4058,14.0,1.0,40.0,804.0,15.0,0.0175,,,,16,200,0.062438,42,0.7,2023-09-11 09:00:00,42,temp_c_step|slp_hpa_step|rh_pct_step|temp_c_roll_std|slp_hpa_roll_std|rh_pct_roll_std|temp_c_resid|slp_hpa_resid|rh_pct_resid|temp_c_clim_dev|slp_hpa_clim_dev|rh_pct_clim_dev|hour_sin|hour_cos|doy_sin|doy_cos
stage4_final,overall,rule flat-run,full series,ALL,179.0,0.9333,0.2346,0.375,42.0,3.0,137.0,2679.0,45.0,0.0157,,,,16,200,0.062438,42,0.7,2023-09-11 09:00:00,42,temp_c_step|slp_hpa_step|rh_pct_step|temp_c_roll_std|slp_hpa_roll_std|rh_pct_roll_std|temp_c_resid|slp_hpa_resid|rh_pct_resid|temp_c_clim_dev|slp_hpa_clim_dev|rh_pct_clim_dev|hour_sin|hour_cos|doy_sin|doy_cos
stage4_final,overall,HYBRID (IF16 + flat-run),train,ALL,125.0,0.3548,0.44,0.3929,55.0,100.0,70.0,1777.0,155.0,0.0774,,,,16,200,0.062438,42,0.7,2023-09-11 09:00:00,42,temp_c_step|slp_hpa_step|rh_pct_step|temp_c_roll_std|slp_hpa_roll_std|rh_pct_roll_std|temp_c_resid|slp_hpa_resid|rh_pct_resid|temp_c_clim_dev|slp_hpa_clim_dev|rh_pct_clim_dev|hour_sin|hour_cos|doy_sin|doy_cos
stage4_final,overall,HYBRID (IF16 + flat-run),test,ALL,54.0,0.1422,0.537,0.2248,29.0,175.0,25.0,630.0,204.0,0.2375,,,,16,200,0.062438,42,0.7,2023-09-11 09:00:00,42,temp_c_step|slp_hpa_step|rh_pct_step|temp_c_roll_std|slp_hpa_roll_std|rh_pct_roll_std|temp_c_resid|slp_hpa_resid|rh_pct_resid|temp_c_clim_dev|slp_hpa_clim_dev|rh_pct_clim_dev|hour_sin|hour_cos|doy_sin|doy_cos
stage4_final,overall,HYBRID (IF16 + flat-run),full series,ALL,179.0,0.234,0.4693,0.3123,84.0,275.0,95.0,2407.0,359.0,0.1255,,,,16,200,0.062438,42,0.7,2023-09-11 09:00:00,42,temp_c_step|slp_hpa_step|rh_pct_step|temp_c_roll_std|slp_hpa_roll_std|rh_pct_roll_std|temp_c_resid|slp_hpa_resid|rh_pct_resid|temp_c_clim_dev|slp_hpa_clim_dev|rh_pct_clim_dev|hour_sin|hour_cos|doy_sin|doy_cos
stage4_final,per_fault_type,IF (16 stationary),full series,spike,15.0,,0.867,,13.0,,,,,,15.0,13.0,0.867,16,200,0.062438,42,0.7,2023-09-11 09:00:00,42,temp_c_step|slp_hpa_step|rh_pct_step|temp_c_roll_std|slp_hpa_roll_std|rh_pct_roll_std|temp_c_resid|slp_hpa_resid|rh_pct_resid|temp_c_clim_dev|slp_hpa_clim_dev|rh_pct_clim_dev|hour_sin|hour_cos|doy_sin|doy_cos
stage4_final,per_fault_type,IF (16 stationary),full series,stuck_at,42.0,,0.095,,4.0,,,,,,3.0,1.0,0.333,16,200,0.062438,42,0.7,2023-09-11 09:00:00,42,temp_c_step|slp_hpa_step|rh_pct_step|temp_c_roll_std|slp_hpa_roll_std|rh_pct_roll_std|temp_c_resid|slp_hpa_resid|rh_pct_resid|temp_c_clim_dev|slp_hpa_clim_dev|rh_pct_clim_dev|hour_sin|hour_cos|doy_sin|doy_cos
stage4_final,per_fault_type,IF (16 stationary),full series,bias,36.0,,0.417,,15.0,,,,,,3.0,3.0,1.0,16,200,0.062438,42,0.7,2023-09-11 09:00:00,42,temp_c_step|slp_hpa_step|rh_pct_step|temp_c_roll_std|slp_hpa_roll_std|rh_pct_roll_std|temp_c_resid|slp_hpa_resid|rh_pct_resid|temp_c_clim_dev|slp_hpa_clim_dev|rh_pct_clim_dev|hour_sin|hour_cos|doy_sin|doy_cos
stage4_final,per_fault_type,IF (16 stationary),full series,drift,51.0,,0.176,,9.0,,,,,,3.0,3.0,1.0,16,200,0.062438,42,0.7,2023-09-11 09:00:00,42,temp_c_step|slp_hpa_step|rh_pct_step|temp_c_roll_std|slp_hpa_roll_std|rh_pct_roll_std|temp_c_resid|slp_hpa_resid|rh_pct_resid|temp_c_clim_dev|slp_hpa_clim_dev|rh_pct_clim_dev|hour_sin|hour_cos|doy_sin|doy_cos
stage4_final,per_fault_type,IF (16 stationary),full series,noise_burst,35.0,,0.143,,5.0,,,,,,3.0,1.0,0.333,16,200,0.062438,42,0.7,2023-09-11 09:00:00,42,temp_c_step|slp_hpa_step|rh_pct_step|temp_c_roll_std|slp_hpa_roll_std|rh_pct_roll_std|temp_c_resid|slp_hpa_resid|rh_pct_resid|temp_c_clim_dev|slp_hpa_clim_dev|rh_pct_clim_dev|hour_sin|hour_cos|doy_sin|doy_cos
stage4_final,per_fault_type,HYBRID (IF16 + flat-run),full series,spike,15.0,,0.867,,13.0,,,,,,15.0,13.0,0.867,16,200,0.062438,42,0.7,2023-09-11 09:00:00,42,temp_c_step|slp_hpa_step|rh_pct_step|temp_c_roll_std|slp_hpa_roll_std|rh_pct_roll_std|temp_c_resid|slp_hpa_resid|rh_pct_resid|temp_c_clim_dev|slp_hpa_clim_dev|rh_pct_clim_dev|hour_sin|hour_cos|doy_sin|doy_cos
stage4_final,per_fault_type,HYBRID (IF16 + flat-run),full series,stuck_at,42.0,,1.0,,42.0,,,,,,3.0,3.0,1.0,16,200,0.062438,42,0.7,2023-09-11 09:00:00,42,temp_c_step|slp_hpa_step|rh_pct_step|temp_c_roll_std|slp_hpa_roll_std|rh_pct_roll_std|temp_c_resid|slp_hpa_resid|rh_pct_resid|temp_c_clim_dev|slp_hpa_clim_dev|rh_pct_clim_dev|hour_sin|hour_cos|doy_sin|doy_cos
stage4_final,per_fault_type,HYBRID (IF16 + flat-run),full series,bias,36.0,,0.417,,15.0,,,,,,3.0,3.0,1.0,16,200,0.062438,42,0.7,2023-09-11 09:00:00,42,temp_c_step|slp_hpa_step|rh_pct_step|temp_c_roll_std|slp_hpa_roll_std|rh_pct_roll_std|temp_c_resid|slp_hpa_resid|rh_pct_resid|temp_c_clim_dev|slp_hpa_clim_dev|rh_pct_clim_dev|hour_sin|hour_cos|doy_sin|doy_cos
stage4_final,per_fault_type,HYBRID (IF16 + flat-run),full series,drift,51.0,,0.176,,9.0,,,,,,3.0,3.0,1.0,16,200,0.062438,42,0.7,2023-09-11 09:00:00,42,temp_c_step|slp_hpa_step|rh_pct_step|temp_c_roll_std|slp_hpa_roll_std|rh_pct_roll_std|temp_c_resid|slp_hpa_resid|rh_pct_resid|temp_c_clim_dev|slp_hpa_clim_dev|rh_pct_clim_dev|hour_sin|hour_cos|doy_sin|doy_cos
stage4_final,per_fault_type,HYBRID (IF16 + flat-run),full series,noise_burst,35.0,,0.143,,5.0,,,,,,3.0,1.0,0.333,16,200,0.062438,42,0.7,2023-09-11 09:00:00,42,temp_c_step|slp_hpa_step|rh_pct_step|temp_c_roll_std|slp_hpa_roll_std|rh_pct_roll_std|temp_c_resid|slp_hpa_resid|rh_pct_resid|temp_c_clim_dev|slp_hpa_clim_dev|rh_pct_clim_dev|hour_sin|hour_cos|doy_sin|doy_cos
stage4_final,per_fault_type,IF (16 stationary),test,spike,3.0,,1.0,,3.0,,,,,,3.0,3.0,1.0,16,200,0.062438,42,0.7,2023-09-11 09:00:00,42,temp_c_step|slp_hpa_step|rh_pct_step|temp_c_roll_std|slp_hpa_roll_std|rh_pct_roll_std|temp_c_resid|slp_hpa_resid|rh_pct_resid|temp_c_clim_dev|slp_hpa_clim_dev|rh_pct_clim_dev|hour_sin|hour_cos|doy_sin|doy_cos
