run,section,detector,scope,fault_type,support,precision,recall,f1,tp,fp,fn,tn,n_flagged,anomaly_rate,episodes,ep_detected,ep_recall,threshold_contamination,threshold_tuned,n_features,n_estimators,contamination,random_state,fit_frac,val_end_frac,split_time,seed
stage5_threshold_sweep,overall,IF  @ contamination,val,ALL,27.0,0.3824,0.4815,0.4262,13.0,21.0,14.0,381.0,34.0,0.0793,,,,0.505019,0.494459,16,200,0.062438,42,0.55,0.7,2023-09-11 09:00:00,42
stage5_threshold_sweep,overall,IF  @ contamination,test,ALL,54.0,0.108,0.4259,0.1723,23.0,190.0,31.0,615.0,213.0,0.248,,,,0.505019,0.494459,16,200,0.062438,42,0.55,0.7,2023-09-11 09:00:00,42
stage5_threshold_sweep,overall,IF  @ tuned,val,ALL,27.0,0.3774,0.7407,0.5,20.0,33.0,7.0,369.0,53.0,0.1235,,,,0.505019,0.494459,16,200,0.062438,42,0.55,0.7,2023-09-11 09:00:00,42
stage5_threshold_sweep,overall,IF  @ tuned,test,ALL,54.0,0.1094,0.6667,0.188,36.0,293.0,18.0,512.0,329.0,0.383,,,,0.505019,0.494459,16,200,0.062438,42,0.55,0.7,2023-09-11 09:00:00,42
stage5_threshold_sweep,overall,HYB @ contamination,val,ALL,27.0,0.3824,0.4815,0.4262,13.0,21.0,14.0,381.0,34.0,0.0793,,,,0.505019,0.494459,16,200,0.062438,42,0.55,0.7,2023-09-11 09:00:00,42
stage5_threshold_sweep,overall,HYB @ contamination,test,ALL,54.0,0.1549,0.6481,0.25,35.0,191.0,19.0,614.0,226.0,0.2631,,,,0.505019,0.494459,16,200,0.062438,42,0.55,0.7,2023-09-11 09:00:00,42
stage5_threshold_sweep,overall,HYB @ tuned,val,ALL,27.0,0.3774,0.7407,0.5,20.0,33.0,7.0,369.0,53.0,0.1235,,,,0.505019,0.494459,16,200,0.062438,42,0.55,0.7,2023-09-11 09:00:00,42
stage5_threshold_sweep,overall,HYB @ tuned,test,ALL,54.0,0.125,0.7778,0.2154,42.0,294.0,12.0,511.0,336.0,0.3912,,,,0.505019,0.494459,16,200,0.062438,42,0.55,0.7,2023-09-11 09:00:00,42
stage5_threshold_sweep,per_fault_type,IF  @ contamination,test,spike,3.0,,1.0,,3.0,,,,,,3.0,3.0,1.0,0.505019,0.494459,16,200,0.062438,42,0.55,0.7,2023-09-11 09:00:00,42
stage5_threshold_sweep,per_fault_type,IF  @ contamination,test,stuck_at,14.0,,0.143,,2.0,,,,,,1.0,1.0,1.0,0.505019,0.494459,16,200,0.062438,42,0.55,0.7,2023-09-11 09:00:00,42
stage5_threshold_sweep,per_fault_type,IF  @ contamination,test,bias,22.0,,0.455,,10.0,,,,,,2.0,2.0,1.0,0.505019,0.494459,16,200,0.062438,42,0.55,0.7,2023-09-11 09:00:00,42
stage5_threshold_sweep,per_fault_type,IF  @ contamination,test,drift,3.0,,0.667,,2.0,,,,,,1.0,1.0,1.0,0.505019,0.494459,16,200,0.062438,42,0.55,0.7,2023-09-11 09:00:00,42
stage5_threshold_sweep,per_fault_type,IF  @ contamination,test,noise_burst,12.0,,0.5,,6.0,,,,,,1.0,1.0,1.0,0.505019,0.494459,16,200,0.062438,42,0.55,0.7,2023-09-11 09:00:00,42
stage5_threshold_sweep,per_fault_type,IF  @ tuned,test,spike,3.0,,1.0,,3.0,,,,,,3.0,3.0,1.0,0.505019,0.494459,16,200,0.062438,42,0.55,0.7,2023-09-11 09:00:00,42
stage5_threshold_sweep,per_fault_type,IF  @ tuned,test,stuck_at,14.0,,0.571,,8.0,,,,,,1.0,1.0,1.0,0.505019,0.494459,16,200,0.062438,42,0.55,0.7,2023-09-11 09:00:00,42
stage5_threshold_sweep,per_fault_type,IF  @ tuned,test,bias,22.0,,0.636,,14.0,,,,,,2.0,2.0,1.0,0.505019,0.494459,16,200,0.062438,42,0.55,0.7,2023-09-11 09:00:00,42
stage5_threshold_sweep,per_fault_type,IF  @ tuned,test,drift,3.0,,1.0,,3.0,,,,,,1.0,1.0,1.0,0.505019,0.494459,16,200,0.062438,42,0.55,0.7,2023-09-11 09:00:00,42
stage5_threshold_sweep,per_fault_type,IF  @ tuned,test,noise_burst,12.0,,0.667,,8.0,,,,,,1.0,1.0,1.0,0.505019,0.494459,16,200,0.062438,42,0.55,0.7,2023-09-11 09:00:00,42
stage5_threshold_sweep,per_fault_type,HYBRID @ contamination,test,spike,3.0,,1.0,,3.0,,,,,,3.0,3.0,1.0,0.505019,0.494459,16,200,0.062438,42,0.55,0.7,2023-09-11 09:00:00,42
stage5_threshold_sweep,per_fault_type,HYBRID @ contamination,test,stuck_at,14.0,,1.0,,14.0,,,,,,1.0,1.0,1.0,0.505019,0.494459,16,200,0.062438,42,0.55,0.7,2023-09-11 09:00:00,42
stage5_threshold_sweep,per_fault_type,HYBRID @ contamination,test,bias,22.0,,0.455,,10.0,,,,,,2.0,2.0,1.0,0.505019,0.494459,16,200,0.062438,42,0.55,0.7,2023-09-11 09:00:00,42
stage5_threshold_sweep,per_fault_type,HYBRID @ contamination,test,drift,3.0,,0.667,,2.0,,,,,,1.0,1.0,1.0,0.505019,0.494459,16,200,0.062438,42,0.55,0.7,2023-09-11 09:00:00,42
stage5_threshold_sweep,per_fault_type,HYBRID @ contamination,test,noise_burst,12.0,,0.5,,6.0,,,,,,1.0,1.0,1.0,0.505019,0.494459,16,200,0.062438,42,0.55,0.7,2023-09-11 09:00:00,42
stage5_threshold_sweep,per_fault_type,HYBRID @ tuned,test,spike,3.0,,1.0,,3.0,,,,,,3.0,3.0,1.0,0.505019,0.494459,16,200,0.062438,42,0.55,0.7,2023-09-11 09:00:00,42
stage5_threshold_sweep,per_fault_type,HYBRID @ tuned,test,stuck_at,14.0,,1.0,,14.0,,,,,,1.0,1.0,1.0,0.505019,0.494459,16,200,0.062438,42,0.55,0.7,2023-09-11 09:00:00,42
