run,section,detector,scope,fault_type,support,precision,recall,f1,tp,fp,fn,tn,n_flagged,anomaly_rate,episodes,ep_detected,ep_recall,alert_rate_fixed,alert_rate_adaptive,n_rows,window,q,min_periods,threshold_fixed,n_features,n_estimators,contamination,random_state,split_time,seed
stage6_adaptive_threshold,overall,IF  @ fixed,train,ALL,125.0,0.216,0.216,0.216,27.0,98.0,98.0,1779.0,125.0,0.0624,,,,,,,30D,0.937562,80,0.503878,16,200,0.062438,42,2023-09-11 09:00:00,42
stage6_adaptive_threshold,overall,IF  @ fixed,test,ALL,54.0,0.0984,0.3519,0.1538,19.0,174.0,35.0,631.0,193.0,0.2247,,,,,,,30D,0.937562,80,0.503878,16,200,0.062438,42,2023-09-11 09:00:00,42
stage6_adaptive_threshold,overall,IF  @ adaptive,train,ALL,125.0,0.3182,0.336,0.3268,42.0,90.0,83.0,1787.0,132.0,0.0659,,,,,,,30D,0.937562,80,0.503878,16,200,0.062438,42,2023-09-11 09:00:00,42
stage6_adaptive_threshold,overall,IF  @ adaptive,test,ALL,54.0,0.1622,0.2222,0.1875,12.0,62.0,42.0,743.0,74.0,0.0861,,,,,,,30D,0.937562,80,0.503878,16,200,0.062438,42,2023-09-11 09:00:00,42
stage6_adaptive_threshold,overall,HYB @ fixed,train,ALL,125.0,0.3548,0.44,0.3929,55.0,100.0,70.0,1777.0,155.0,0.0774,,,,,,,30D,0.937562,80,0.503878,16,200,0.062438,42,2023-09-11 09:00:00,42
stage6_adaptive_threshold,overall,HYB @ fixed,test,ALL,54.0,0.1422,0.537,0.2248,29.0,175.0,25.0,630.0,204.0,0.2375,,,,,,,30D,0.937562,80,0.503878,16,200,0.062438,42,2023-09-11 09:00:00,42
stage6_adaptive_threshold,overall,HYB @ adaptive,train,ALL,125.0,0.425,0.544,0.4772,68.0,92.0,57.0,1785.0,160.0,0.0799,,,,,,,30D,0.937562,80,0.503878,16,200,0.062438,42,2023-09-11 09:00:00,42
stage6_adaptive_threshold,overall,HYB @ adaptive,test,ALL,54.0,0.2588,0.4074,0.3165,22.0,63.0,32.0,742.0,85.0,0.099,,,,,,,30D,0.937562,80,0.503878,16,200,0.062438,42,2023-09-11 09:00:00,42
stage6_adaptive_threshold,per_fault_type,HYBRID @ fixed,test,spike,3.0,,1.0,,3.0,,,,,,3.0,3.0,1.0,,,,30D,0.937562,80,0.503878,16,200,0.062438,42,2023-09-11 09:00:00,42
stage6_adaptive_threshold,per_fault_type,HYBRID @ fixed,test,stuck_at,14.0,,1.0,,14.0,,,,,,1.0,1.0,1.0,,,,30D,0.937562,80,0.503878,16,200,0.062438,42,2023-09-11 09:00:00,42
stage6_adaptive_threshold,per_fault_type,HYBRID @ fixed,test,bias,22.0,,0.273,,6.0,,,,,,2.0,2.0,1.0,,,,30D,0.937562,80,0.503878,16,200,0.062438,42,2023-09-11 09:00:00,42
stage6_adaptive_threshold,per_fault_type,HYBRID @ fixed,test,drift,3.0,,0.333,,1.0,,,,,,1.0,1.0,1.0,,,,30D,0.937562,80,0.503878,16,200,0.062438,42,2023-09-11 09:00:00,42
stage6_adaptive_threshold,per_fault_type,HYBRID @ fixed,test,noise_burst,12.0,,0.417,,5.0,,,,,,1.0,1.0,1.0,,,,30D,0.937562,80,0.503878,16,200,0.062438,42,2023-09-11 09:00:00,42
stage6_adaptive_threshold,per_fault_type,HYBRID @ adaptive,test,spike,3.0,,1.0,,3.0,,,,,,3.0,3.0,1.0,,,,30D,0.937562,80,0.503878,16,200,0.062438,42,2023-09-11 09:00:00,42
stage6_adaptive_threshold,per_fault_type,HYBRID @ adaptive,test,stuck_at,14.0,,1.0,,14.0,,,,,,1.0,1.0,1.0,,,,30D,0.937562,80,0.503878,16,200,0.062438,42,2023-09-11 09:00:00,42
